,Semester,Days,S1,S2,Pair,Return,Converged,Count day,date,is_bear_market
404,5,10,1005945D,DTE,1005945D-DTE,1.0372154097826964,True,740,1994-05-13,0
405,5,2,ED,TXU,ED-TXU,1.036844944896414,True,631,1993-12-07,0
406,5,17,ED,TXU,ED-TXU,1.0329215455113157,True,664,1994-01-26,0
407,5,15,ED,TXU,ED-TXU,1.0279512486899944,True,688,1994-03-02,0
408,5,4,ED,TXU,ED-TXU,1.0292888472471142,True,696,1994-03-14,0
409,5,50,ED,TXU,ED-TXU,0.9669432211997774,False,753,1994-06-02,0
410,5,124,XEL,DTE,XEL-DTE,0.8925980291592382,False,753,1994-06-02,0
411,5,3,571300Q,PCG,571300Q-PCG,1.0515728525988468,True,631,1993-12-07,0
412,5,7,571300Q,PCG,571300Q-PCG,1.030101352629716,True,654,1994-01-11,0
413,5,5,571300Q,PCG,571300Q-PCG,1.0316750009751203,True,676,1994-02-11,0
414,5,49,571300Q,PCG,571300Q-PCG,0.865677347833813,False,753,1994-06-02,0
415,5,33,45200Q,TXU,45200Q-TXU,1.036832367502288,True,663,1994-01-25,0
416,5,25,45200Q,TXU,45200Q-TXU,1.0524016679695445,True,706,1994-03-28,0
417,5,25,45200Q,TXU,45200Q-TXU,1.0085202222622065,False,753,1994-06-02,0
418,5,17,DUK,2218Q,DUK-2218Q,1.023550882003143,True,650,1994-01-05,0
419,5,102,DUK,2218Q,DUK-2218Q,0.9161041974001032,False,753,1994-06-02,0
420,5,5,XEL,210967Q,XEL-210967Q,1.059370422759336,True,634,1993-12-10,0
421,5,86,XEL,210967Q,XEL-210967Q,1.0269095965620847,True,723,1994-04-20,0
