,Semester,Days,S1,S2,Pair,Return,Converged,Count day
174,3,2,USW,571300Q,USW-571300Q,1.036498808753055,True,412
175,3,10,USW,571300Q,USW-571300Q,1.0295794887729606,True,422
176,3,25,USW,571300Q,USW-571300Q,0.95,False,450
177,3,109,XEL,CEG,XEL-CEG,0.95,False,501
178,3,16,D,CNP,D-CNP,1.0358417722605282,True,396
179,3,51,D,CNP,D-CNP,0.95,False,469
180,3,25,1005945D,ETR,1005945D-ETR,1.033699730615233,True,408
181,3,2,1005945D,ETR,1005945D-ETR,1.0170822422761958,True,411
182,3,4,1005945D,ETR,1005945D-ETR,1.020573754006148,True,418
183,3,5,1005945D,ETR,1005945D-ETR,1.030203407305515,True,451
184,3,4,1005945D,ETR,1005945D-ETR,1.0256588362461279,True,456
185,3,4,1005945D,ETR,1005945D-ETR,1.0184903864168802,True,470
186,4,62,JCI,1436513D,JCI-1436513D,1.0000454765027456,True,563
187,4,4,JCI,1436513D,JCI-1436513D,1.0000171072158277,True,567
188,4,8,JCI,1436513D,JCI-1436513D,1.000032708067888,True,575
189,4,21,JCI,1436513D,JCI-1436513D,1.0000467111259639,True,596
190,4,4,JCI,1436513D,JCI-1436513D,1.0000475650733385,True,600
191,4,27,JCI,1436513D,JCI-1436513D,0.9999936761085368,False,629
192,4,25,D,DUK,D-DUK,1.018898788221825,True,551
193,4,36,D,DUK,D-DUK,1.019197174891589,True,593
194,4,10,D,DUK,D-DUK,1.0121498974381786,True,607
195,4,5,D,DUK,D-DUK,1.014272964459591,True,612
196,4,7,D,DUK,D-DUK,1.0147380704977131,False,629
197,4,2,45200Q,CEG,45200Q-CEG,1.021019163069948,True,518
198,4,2,45200Q,CEG,45200Q-CEG,1.017092660327345,True,526
199,4,20,45200Q,CEG,45200Q-CEG,1.0149750564202398,True,553
200,4,57,45200Q,CEG,45200Q-CEG,0.95,False,615
201,4,75,45200Q,AEP,45200Q-AEP,0.95,False,576
202,4,23,AEP,D,AEP-D,1.0206494005927556,True,551
203,4,67,AEP,D,AEP-D,1.0180919042625138,True,622
204,4,52,CEG,D,CEG-D,0.95,False,555
205,4,41,AEP,CEG,AEP-CEG,1.02784084426935,True,542
206,4,19,AEP,CEG,AEP-CEG,1.015777980960064,True,565
207,4,61,AEP,CEG,AEP-CEG,0.9911356066180026,False,629
208,4,57,CEG,DTE,CEG-DTE,0.95,False,558
209,4,34,CEG,DUK,CEG-DUK,1.0314376196336024,True,541
210,4,45,CEG,DUK,CEG-DUK,0.95,False,590
211,4,118,45200Q,DTE,45200Q-DTE,0.95,False,619
212,5,2,JCI,1436513D,JCI-1436513D,1.0000389360532294,True,633
213,5,2,JCI,1436513D,JCI-1436513D,1.0000366658647193,True,637
214,5,4,JCI,1436513D,JCI-1436513D,1.0000297561051106,True,642
215,5,3,JCI,1436513D,JCI-1436513D,1.0000229541626338,True,648
216,5,2,JCI,1436513D,JCI-1436513D,1.000038912474005,True,660
217,5,2,JCI,1436513D,JCI-1436513D,1.0000242472633623,True,664
218,5,4,JCI,1436513D,JCI-1436513D,1.000036524533496,True,688
219,5,2,JCI,1436513D,JCI-1436513D,1.0000397992577523,True,692
220,5,2,JCI,1436513D,JCI-1436513D,1.0000270881579962,True,696
221,5,3,JCI,1436513D,JCI-1436513D,1.0000372627764045,True,709
222,5,2,JCI,1436513D,JCI-1436513D,1.000023183141697,True,713
223,5,4,JCI,1436513D,JCI-1436513D,1.0000331013198966,True,745
224,5,3,JCI,1436513D,JCI-1436513D,1.000015746067662,False,753
225,5,27,1005945D,XEL,1005945D-XEL,0.95,False,659
226,5,26,45200Q,PEG,45200Q-PEG,0.95,False,679
227,5,5,NEE,PCG,NEE-PCG,1.026704863603175,True,636
228,5,30,NEE,PCG,NEE-PCG,0.95,False,704
229,5,17,PEG,TXU,PEG-TXU,0.95,False,647
230,5,3,DUK,SO,DUK-SO,1.0206585231297374,True,638
231,5,19,DUK,SO,DUK-SO,1.0265156644923585,True,679
232,5,24,DUK,SO,DUK-SO,1.0324194709871508,True,719
233,5,3,DUK,SO,DUK-SO,1.0392981973872892,True,723
234,5,12,AEP,SO,AEP-SO,1.0373525155217511,True,646
235,5,6,AEP,SO,AEP-SO,1.0197992725984955,True,657
236,5,62,AEP,SO,AEP-SO,0.95,False,720
237,5,2,AEP,D,AEP-D,1.0191365161954888,True,651
238,5,37,AEP,D,AEP-D,0.95,False,713
239,5,30,45200Q,ED,45200Q-ED,1.041889413689317,True,658
240,5,6,45200Q,ED,45200Q-ED,0.95,False,679
241,5,33,D,DUK,D-DUK,1.011071662394259,True,662
242,5,46,D,DUK,D-DUK,1.022809438863694,True,733
243,5,7,D,DUK,D-DUK,0.9769883930028812,False,753
244,6,4,JCI,1436513D,JCI-1436513D,1.0000151254117782,True,756
245,6,2,JCI,1436513D,JCI-1436513D,1.0000297026758829,True,762
246,6,2,JCI,1436513D,JCI-1436513D,1.000022373276103,True,769
247,6,2,JCI,1436513D,JCI-1436513D,1.0000282676560812,True,772
248,6,4,JCI,1436513D,JCI-1436513D,1.0000263407472838,True,777
249,6,9,JCI,1436513D,JCI-1436513D,1.000014762036684,True,789
250,6,2,JCI,1436513D,JCI-1436513D,1.0000220990036226,True,792
251,6,4,JCI,1436513D,JCI-1436513D,1.0000433405912115,True,796
252,6,2,JCI,1436513D,JCI-1436513D,1.000050363185273,True,799
253,6,8,JCI,1436513D,JCI-1436513D,1.000014680268547,True,807
254,6,4,JCI,1436513D,JCI-1436513D,1.0000373223208057,True,813
255,6,6,JCI,1436513D,JCI-1436513D,1.0000349474452117,True,822
256,6,2,JCI,1436513D,JCI-1436513D,1.0000548515931662,True,832
257,6,3,JCI,1436513D,JCI-1436513D,1.0000240272635892,True,847
258,6,6,JCI,1436513D,JCI-1436513D,1.000057339491199,True,857
259,6,2,JCI,1436513D,JCI-1436513D,1.0000398309445857,True,860
260,6,2,JCI,1436513D,JCI-1436513D,1.0000167232843153,True,864
261,6,3,JCI,1436513D,JCI-1436513D,1.0000216426944113,True,877
262,6,18,MMM,WYE,MMM-WYE,0.95,False,777
263,6,7,MMM,WYE,MMM-WYE,1.0189119183827842,True,832
264,6,19,MMM,WYE,MMM-WYE,0.95,False,858
265,6,8,ED,PEG,ED-PEG,0.95,False,801
266,6,16,GPC,2218Q,GPC-2218Q,0.95,False,775
267,6,13,GPC,2218Q,GPC-2218Q,0.9875413886598609,False,879
268,6,95,1005945D,45200Q,1005945D-45200Q,0.95,False,847
269,6,18,D,UCM,D-UCM,1.0382173253273632,True,783
270,6,4,D,UCM,D-UCM,1.0345368963720734,True,804
271,6,21,D,UCM,D-UCM,0.95,False,831
272,6,5,D,UCM,D-UCM,1.0342106643314088,True,849
273,6,10,D,UCM,D-UCM,0.9734075414989319,False,879
274,6,7,SLB,300583Q,SLB-300583Q,1.0384920389401617,True,759
275,6,3,SLB,300583Q,SLB-300583Q,1.028338298611699,True,762
276,6,3,SLB,300583Q,SLB-300583Q,1.02550241689832,True,772
277,6,39,SLB,300583Q,SLB-300583Q,1.0186477866613488,True,819
278,6,28,SLB,300583Q,SLB-300583Q,0.95,False,854
279,6,12,USW,571300Q,USW-571300Q,1.0498160867124957,True,764
280,6,10,USW,571300Q,USW-571300Q,1.0214539708017052,True,786
281,6,7,USW,571300Q,USW-571300Q,1.0314153740620042,True,796
282,6,21,USW,571300Q,USW-571300Q,0.95,False,848
283,6,35,PEG,UEP,PEG-UEP,0.95,False,799
284,6,49,PPW,SO,PPW-SO,1.0218963665655554,True,804
285,6,19,PPW,SO,PPW-SO,1.0427073107519789,True,826
286,6,9,PPW,SO,PPW-SO,1.0267807631656605,True,845
287,6,4,PPW,SO,PPW-SO,1.0264863690587944,True,852
288,6,4,PPW,SO,PPW-SO,1.0247684306853544,True,857
289,6,18,PPW,SO,PPW-SO,1.0137666104708873,False,879
290,7,3,JCI,1436513D,JCI-1436513D,1.000036136049507,True,881
291,7,2,JCI,1436513D,JCI-1436513D,1.0000214894525548,True,886
